id;title;description;dificulty;date_from;date_to;is_active;job_type;type_of_job
a805f71d-bf9d-4246-9c2a-0705eab7224c;primary;copying Beauty;44097;2023-04-02T16:37:00;2023-04-02T13:17:50;false;PERMANENT;ONE_TIME
dc065b73-3ae7-4831-9517-ac7b43789d5c;initiatives envisioneer SMS;generate Operations Balboa;6603;2023-04-02T19:54:07;2023-04-02T14:20:07;false;ONE_TIME;ONE_TIME
cf314eb0-3221-4e8f-be64-4345370a9686;program;Idaho Ireland Stravenue;77341;2023-04-02T07:50:01;2023-04-02T06:43:33;false;PERMANENT;ONE_TIME
e318344b-f98e-4b3d-bba4-a74d20d540d3;homogeneous Ergonomic fuchsia;payment Electronics orange;58731;2023-04-02T16:10:16;2023-04-02T12:57:48;true;PERMANENT;ONE_TIME
cb20fd54-67ed-493b-a16f-4bd0b51b5b89;Handmade high-level forecast;calculating methodology online;62863;2023-04-02T21:38:09;2023-04-02T10:06:21;false;PERMANENT;PERMANENT
9e675d49-d1e5-44fa-8b60-2dba33ee5fc3;Buckinghamshire panel;Mississippi bypassing;66451;2023-04-02T00:10:59;2023-04-02T16:55:53;false;ONE_TIME;PERMANENT
fb821e1d-54ac-433a-a115-49c011cd55c8;Incredible global heuristic;Handmade Table connect;29889;2023-04-02T12:31:30;2023-04-02T12:19:54;true;ONE_TIME;ONE_TIME
787d61c9-c8f0-4e7e-a4bd-12f5450f03d9;client-driven FTP XSS;olive matrix Savings;87631;2023-04-02T06:58:35;2023-04-02T13:02:12;false;PERMANENT;ONE_TIME
ec35f5df-0d6e-42af-af59-580de17aaa38;Investor Fresh sticky;Maryland matrix;93388;2023-04-02T17:13:34;2023-04-02T08:44:07;true;ONE_TIME;ONE_TIME
84508ef8-297f-423a-97db-cf6c1b131739;Devolved;synthesizing De-engineered;73115;2023-04-02T16:52:46;2023-04-02T07:02:04;true;ONE_TIME;ONE_TIME
